RIAL,RIAR,RIBL,RIM,RIBR,sensory,,,,,,velocity,speed,odor,upp_cam_index,RIAL_x,RIAL_y,RIAR_x,RIAR_y,RIBL_x,RIBL_y,RIM_x,RIM_y,RIBR_x,RIBR_y,sensory_x,sensory_y,Speed_3,Speed_5,Speed_10
0.462838470935822,0.284093052148819,1.25988435745239,1.06831777095795,1.11101257801056,0.997083485126495,8.05E-01,7.12E-01,7.92E-01,7.42E-01,7.73E-01,-0.373487207009915,2.86E-01,0,152,2.75E+02,2.55E+02,2.55E+02,2.10E+02,3.37E+02,1.51E+02,2.75E+02,1.09E+02,3.14E+02,1.66E+02,2.80E+02,1.50E+02,6.73E+00,6.44E-01,8.75E+01
0.469712018966675,0.285230189561844,1.26276433467865,1.0700136423111,1.13250207901001,0.992741942405701,8.03E-01,7.45E-01,8.14E-01,7.83E-01,7.70E-01,3.23056449291621,4.56E+00,0,155,2.72E+02,2.46E+02,2.53E+02,2.11E+02,3.34E+02,1.46E+02,2.75E+02,1.09E+02,3.11E+02,1.63E+02,2.77E+02,1.48E+02,6.49E+00,6.49E-01,9.32E+01
0.457099109888077,0.281156629323959,1.21783113479614,1.06469643115997,1.10480725765228,1.01673805713654,7.87E-01,7.23E-01,8.18E-01,7.81E-01,7.58E-01,-0.013630199877566,1.39E+00,0,158,2.74E+02,2.59E+02,2.56E+02,2.28E+02,3.38E+02,1.62E+02,2.76E+02,1.23E+02,3.13E+02,1.76E+02,2.80E+02,1.65E+02,1.54E+00,2.49E+00,8.58E+01
0.442631721496582,0.282661586999893,1.22844672203064,1.0705634355545,1.04423105716705,1.02407288551331,7.89E-01,6.94E-01,7.96E-01,7.40E-01,7.22E-01,-0.064583408882462,4.56E-02,0,161,2.76E+02,2.90E+02,2.57E+02,2.48E+02,3.36E+02,1.74E+02,2.76E+02,1.39E+02,3.13E+02,1.92E+02,2.80E+02,1.83E+02,3.17E+00,6.12E+00,7.19E+01
0.43804794549942,0.271656721830368,1.18461084365845,1.05763530731201,1.11343193054199,1.02352166175842,7.98E-01,6.89E-01,8.05E-01,7.46E-01,7.40E-01,0.043144985747928,2.51E+00,0,164,2.80E+02,3.06E+02,2.61E+02,2.77E+02,3.36E+02,1.99E+02,2.76E+02,1.67E+02,3.15E+02,2.18E+02,2.82E+02,2.10E+02,3.53E+00,7.92E+00,5.80E+01
0.447517693042755,0.2702976167202,1.18516051769257,1.05434191226959,1.22145414352417,1.02455985546112,8.03E-01,7.08E-01,7.96E-01,7.28E-01,7.13E-01,-0.117406247975809,2.62E+00,0,166,2.83E+02,3.31E+02,2.62E+02,2.92E+02,3.37E+02,2.15E+02,2.76E+02,1.81E+02,3.16E+02,2.33E+02,2.81E+02,2.25E+02,3.67E+00,5.44E+00,4.64E+01
0.434049159288406,0.264121115207672,1.18992841243744,1.05151116847992,1.09168338775635,1.01247823238373,8.28E-01,6.97E-01,7.87E-01,7.45E-01,7.12E-01,-0.044179972983389,4.55E+00,0,169,2.86E+02,3.44E+02,2.65E+02,3.11E+02,3.37E+02,2.32E+02,2.81E+02,1.98E+02,3.17E+02,2.50E+02,2.82E+02,2.43E+02,3.51E+00,6.67E+00,3.66E+01
0.422521889209747,0.267188251018524,1.19643890857697,1.08565723896027,1.17194628715515,1.01747488975525,8.24E-01,7.18E-01,8.13E-01,7.08E-01,6.75E-01,-0.025787884871681,1.15E+00,0,172,3.54E+02,3.75E+02,3.21E+02,3.39E+02,3.86E+02,2.52E+02,3.23E+02,2.25E+02,3.68E+02,2.73E+02,3.31E+02,2.70E+02,4.66E+00,8.32E+00,3.56E+01
0.414983719587326,0.2664455473423,1.18558537960053,1.08237934112549,1.10679054260254,1.04095935821533,7.90E-01,6.92E-01,7.99E-01,7.24E-01,6.90E-01,0.351150276526202,3.03E-01,0,175,4.07E+02,3.89E+02,3.94E+02,3.62E+02,4.49E+02,2.70E+02,3.88E+02,2.51E+02,4.33E+02,2.92E+02,3.99E+02,2.94E+02,2.50E+00,8.28E+00,4.08E+01
0.427415460348129,0.257453292608261,1.17723882198334,1.06469368934631,1.12265729904175,1.00622928142548,8.09E-01,6.85E-01,7.85E-01,6.81E-01,7.18E-01,-1.03269814730197,1.52E+00,0,178,5.10E+02,4.02E+02,4.60E+02,3.74E+02,5.02E+02,2.75E+02,4.36E+02,2.62E+02,4.92E+02,3.00E+02,4.52E+02,3.04E+02,1.25E+00,7.67E+00,4.81E+01
0.431186556816101,0.259301573038101,1.17373168468475,1.12075841426849,1.02147161960602,1.04599785804749,7.67E-01,6.88E-01,7.98E-01,7.02E-01,7.03E-01,-0.697987520326878,2.32E-01,0,180,5.31E+02,4.04E+02,5.03E+02,3.81E+02,5.44E+02,2.80E+02,4.81E+02,2.70E+02,5.31E+02,3.05E+02,4.98E+02,3.10E+02,9.31E-01,5.48E+00,5.37E+01
0.421824365854263,0.256957530975342,1.17381322383881,1.07885193824768,1.10855162143707,1.0036928653717,7.81E-01,6.94E-01,7.87E-01,6.86E-01,6.92E-01,0.379108533053615,6.69E-01,0,183,5.40E+02,4.10E+02,5.07E+02,3.84E+02,5.48E+02,2.84E+02,4.84E+02,2.72E+02,5.37E+02,3.09E+02,5.01E+02,3.15E+02,7.13E-01,3.00E+00,6.39E+01
0.427379727363586,0.262510597705841,1.16454386711121,1.12377846240997,1.03736627101898,1.0119731426239,7.75E-01,6.40E-01,8.00E-01,8.16E-01,6.72E-01,0.177517397740657,4.47E-01,0,186,5.46E+02,4.11E+02,5.27E+02,3.81E+02,5.66E+02,2.80E+02,5.09E+02,2.76E+02,5.54E+02,3.08E+02,5.23E+02,3.16E+02,8.06E-01,1.74E+00,7.36E+01
0.418164074420929,0.258575558662415,1.18557131290436,1.0844898223877,1.12885320186615,1.02172553539276,8.00E-01,7.03E-01,7.99E-01,7.13E-01,7.44E-01,0.178146528612263,1.03E+00,0,189,5.51E+02,4.04E+02,5.32E+02,3.77E+02,5.72E+02,2.78E+02,5.10E+02,2.69E+02,5.61E+02,3.04E+02,5.28E+02,3.09E+02,9.11E-01,1.30E+00,8.05E+01
0.415732681751251,0.256859749555588,1.1861457824707,1.08458375930786,1.11208856105804,1.01339876651764,7.94E-01,7.11E-01,8.11E-01,7.31E-01,7.53E-01,0.474196698357196,3.82E+00,0,192,5.38E+02,4.07E+02,5.13E+02,3.84E+02,5.55E+02,2.83E+02,4.93E+02,2.74E+02,5.43E+02,3.09E+02,5.10E+02,3.16E+02,1.33E+00,4.78E-01,8.23E+01
0.421917498111725,0.253443330526352,1.17980515956879,1.10553431510925,1.06599926948547,1.02994859218597,7.75E-01,7.07E-01,8.16E-01,6.98E-01,7.17E-01,0.08526454106895,2.68E-01,0,194,5.70E+02,4.10E+02,5.35E+02,3.87E+02,5.76E+02,2.85E+02,5.10E+02,2.77E+02,5.64E+02,3.10E+02,5.31E+02,3.17E+02,2.40E+00,1.21E+00,8.13E+01
0.423761278390884,0.252535104751587,1.17818236351013,1.10031318664551,1.07421398162842,1.01434230804443,8.04E-01,7.09E-01,8.02E-01,7.19E-01,7.25E-01,0.112826464232938,1.71E+00,0,197,5.86E+02,4.02E+02,5.55E+02,3.77E+02,5.95E+02,2.72E+02,5.31E+02,2.66E+02,5.83E+02,3.00E+02,5.52E+02,3.08E+02,3.15E+00,4.48E+00,7.18E+01
0.429982662200928,0.257513105869293,1.17474341392517,1.07466053962708,1.08139431476593,1.0328916311264,7.67E-01,7.12E-01,8.09E-01,7.12E-01,7.23E-01,0.449333579519676,4.24E-01,0,200,6.03E+02,3.99E+02,5.73E+02,3.74E+02,6.11E+02,2.68E+02,5.44E+02,2.65E+02,6.00E+02,2.96E+02,5.67E+02,3.05E+02,1.85E+00,6.40E+00,5.81E+01
0.424725085496902,0.260733991861343,1.18564689159393,1.09124660491943,1.00010943412781,1.01380252838135,8.02E-01,7.10E-01,8.12E-01,7.14E-01,7.61E-01,-0.00556056992994,1.71E+00,0,203,6.01E+02,3.98E+02,5.68E+02,3.73E+02,6.06E+02,2.69E+02,5.42E+02,2.63E+02,5.95E+02,2.96E+02,5.64E+02,3.05E+02,9.96E-01,5.10E+00,3.97E+01
0.427015841007233,0.254990130662918,1.17182791233063,1.09875702857971,1.03594279289246,1.00256073474884,8.00E-01,7.06E-01,8.26E-01,7.31E-01,7.50E-01,-0.041311152772229,4.01E+00,0,206,6.03E+02,3.99E+02,5.71E+02,3.73E+02,6.11E+02,2.69E+02,5.44E+02,2.63E+02,5.99E+02,2.96E+02,5.66E+02,3.06E+02,1.09E+00,2.38E+00,2.25E+01
0.431992709636688,0.261495590209961,1.16261148452759,1.08453810214996,1.17857551574707,1.02125561237335,8.07E-01,7.12E-01,8.14E-01,7.14E-01,7.38E-01,0.068809932120106,3.31E+00,0,208,6.06E+02,3.99E+02,5.80E+02,3.74E+02,6.18E+02,2.68E+02,5.52E+02,2.63E+02,6.08E+02,2.96E+02,5.75E+02,3.03E+02,1.89E+00,1.23E+00,1.73E+01
0.438695758581162,0.2616306245327,1.17145013809204,1.08170139789581,1.03851652145386,1.01363956928253,7.88E-01,7.13E-01,8.00E-01,7.12E-01,7.46E-01,0.425228692227393,2.19E-01,0,211,6.11E+02,4.01E+02,5.84E+02,3.75E+02,6.22E+02,2.69E+02,5.58E+02,2.64E+02,6.11E+02,2.98E+02,5.81E+02,3.07E+02,1.91E+00,6.73E-01,2.47E+01
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.638454514042442,8.31E-01,0,214,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.50E-01,3.56E-01,3.48E+01
0.430323570966721,0.262214958667755,1.18029224872589,1.13077437877655,1.18400430679321,1.03190505504608,7.81E-01,7.14E-01,8.06E-01,6.98E-01,7.27E-01,-0.319206604355338,6.93E-01,0,217,5.04E+02,3.92E+02,4.70E+02,3.69E+02,5.10E+02,2.66E+02,4.45E+02,2.57E+02,4.98E+02,2.92E+02,4.66E+02,3.01E+02,1.73E+00,1.47E+00,4.09E+01
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-0.326602107284291,8.59E+00,0,220,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.74E+00,1.54E+00,4.20E+01
0.444675773382187,0.287172198295593,1.1950935125351,1.07785320281982,1.12692582607269,0.999581873416901,7.87E-01,6.88E-01,7.86E-01,7.07E-01,7.45E-01,0.428557418400733,5.31E+00,0,222,3.25E+02,4.02E+02,3.14E+02,3.74E+02,3.69E+02,2.82E+02,3.09E+02,2.64E+02,3.55E+02,3.06E+02,3.21E+02,3.08E+02,3.15E+00,3.30E+00,4.16E+01
