RIAL,RIAR,RIBL,RIM,RIBR,sensory,,,,,,,,velocity,speed,odor,upp_cam_index,RIAL_x,RIAL_y,RIAR_x,RIAR_y,RIBL_x,RIBL_y,RIM_x,RIM_y,RIBR_x,RIBR_y,Speed_3,Speed_5,Speed_10
0.622953474521637,0.679459631443024,2.29241633415222,2.50153160095215,2.17493629455566,3.60212182998657,0.966643035411835,1.16864490509033,1.02830529212952,1.01297283172607,0.996786952018738,0.978070795536041,0.96734893321991,-0.518470844189322,26.8789041531609,0,301,553,198,490,179,487,238,528,237,544,278,2.5,5.78,141
0.574957430362701,0.653448760509491,2.29116559028625,2.15072965621948,2.06563687324524,3.20641112327576,0.980623841285706,0.980515897274017,0.950707674026489,1.03594100475311,1.04216384887695,0.984252452850342,1.08971846103668,8.64960447097831,41.245088665668,0,303,463,320,381,357,418,404,452,373,481,402,28.8,15,126
0,0,0,0,0,0,0,0,0,0,0,0,0,11.0325301845362,43.3960692969287,0,305,0,0,0,0,0,0,0,0,0,0,27.2,29,146
0,0,0,0,0,0,0,0,0,0,0,0,0,-16.5794071057274,24.2101832195828,0,307,0,0,0,0,0,0,0,0,0,0,16.8,39.3,145
0,0,0,0,0,0,0,0,0,0,0,0,0,17.8169209878479,20.01582177298,0,309,0,0,0,0,0,0,0,0,0,0,14,48.1,154
0,0,0,0,0,0,0,0,0,0,0,0,0,72.6757526968671,94.7250915157592,0,311,0,0,0,0,0,0,0,0,0,0,32.9,53,195
0,0,0,0,0,0,0,0,0,0,0,0,0,-28.9971461152097,29.5244997597597,0,314,0,0,0,0,0,0,0,0,0,0,23.3,43.6,233
0,0,0,0,0,0,0,0,0,0,0,0,0,18.3581670417106,28.2690835473785,0,316,0,0,0,0,0,0,0,0,0,0,10.4,50.5,242
0,0,0,0,0,0,0,0,0,0,0,0,0,-97.4455874978162,101.095677518977,0,318,0,0,0,0,0,0,0,0,0,0,19.5,16.7,299
0,0,0,0,0,0,0,0,0,0,0,0,0,-82.8400095338834,83.0040437836542,0,320,0,0,0,0,0,0,0,0,0,0,44.1,7.51,352
0,0,0,0,0,0,0,0,0,0,0,0,0,82.42870366181,84.6826722190418,0,322,0,0,0,0,0,0,0,0,0,0,14,24.6,357
0,0,0,0,0,0,0,0,0,0,0,0,0,-36.1981430406556,37.1703718921297,0,324,0,0,0,0,0,0,0,0,0,0,9.99,46,390
0,0,0,0,0,0,0,0,0,0,0,0,0,-28.5097068387889,34.3275167158807,0,326,0,0,0,0,0,0,0,0,0,0,22.7,2.19,426
0,0,0,0,0,0,0,0,0,0,0,0,0,-90.3684456908568,91.3154283589327,0,328,0,0,0,0,0,0,0,0,0,0,17.2,4.01,393
0,0,0,0,0,0,0,0,0,0,0,0,0,25.6552567351637,40.9338594169614,0,330,0,0,0,0,0,0,0,0,0,0,7.99,18.8,370
0,0,0,0,0,0,0,0,0,0,0,0,0,16.0087222629455,27.6076495482847,0,332,0,0,0,0,0,0,0,0,0,0,9.97,22.8,345
0,0,0,0,0,0,0,0,0,0,0,0,0,59.2869850939158,69.4423855946194,0,334,0,0,0,0,0,0,0,0,0,0,10.9,10,286
0,0,0,0,0,0,0,0,0,0,0,0,0,36.0699436061563,47.0987100838248,0,337,0,0,0,0,0,0,0,0,0,0,11.9,1.23,206
0,0,0,0,0,0,0,0,0,0,0,0,0,-9.62958910972098,85.6715733942772,0,339,0,0,0,0,0,0,0,0,0,0,8.4,14.9,151
0,0,0,0,0,0,0,0,0,0,0,0,0,-8.52719282586673,15.0747485516444,0,341,0,0,0,0,0,0,0,0,0,0,11.5,24.1,105
0,0,0,0,0,0,0,0,0,0,0,0,0,-4.24317258788587,9.40301807761773,0,343,0,0,0,0,0,0,0,0,0,0,13.5,12.7,52.2
0.63191831111908,0.693615972995758,2.68062496185303,1.69070219993591,2.19909739494324,3.29519891738892,1.15584063529968,0.971475124359131,0.945415914058685,0.965202748775482,0.939570188522339,0.965955257415772,3.18828344345093,10.4861989837414,18.6187515857847,0,345,455,486,453,512,505,485,485,444,508,412,4.4,11.6,22.1
0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08959705164195,23.0805485636832,0,347,0,0,0,0,0,0,0,0,0,0,10.4,10.3,25.4
0,0,0,0,0,0,0,0,0,0,0,0,0,-24.0763213779467,42.1141743196658,0,349,0,0,0,0,0,0,0,0,0,0,19.7,21.7,39.7
